changed_parameter,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin,Fit time,Prediction time,In-sample RMSE,Out-of-sample RMSE
q,200,6,0.91122,3,25,1200,200,64.501,72.444,0.157,0.172
q,200,6,0.90723,3,25,1200,200,67.146,77.43,0.156,0.172
q,200,6,0.90324,3,25,1200,200,67.929,78.481,0.153,0.168
q,200,6,0.91521,3,25,1200,200,67.281,76.657,0.155,0.169
q,200,6,0.93516,3,25,1200,200,61.462,71.566,0.156,0.169
q,200,6,0.9192,3,25,1200,200,66.904,76.468,0.154,0.173
q,200,6,0.92718,3,25,1200,200,63.219,73.407,0.156,0.175
q,200,6,0.93915,3,25,1200,200,62.866,71.996,0.156,0.171
q,200,6,0.92319,3,25,1200,200,67.666,78.122,0.155,0.171
q,200,6,0.95511,3,25,1200,200,61.925,71.366,0.153,0.17
q,200,6,0.93117,3,25,1200,200,68.408,78.64,0.157,0.174
lambda,200,6,0.85,3,3,1200,200,52.738,46.264,0.158,0.167
lambda,200,6,0.85,3,1,1200,200,57.304,45.464,0.164,0.17
q,200,6,0.94314,3,25,1200,200,67.081,77.29,0.157,0.173
q,200,6,0.94713,3,25,1200,200,66.779,77.748,0.153,0.168
q,200,6,0.97506,3,25,1200,200,62.058,71.605,0.153,0.169
q,200,6,0.95112,3,25,1200,200,67.021,77.775,0.153,0.168
omega,200,6,0.85,2,25,1200,200,59.663,68.458,0.154,0.171
lambda,200,6,0.85,3,2,1200,200,57.12,47.491,0.159,0.167
q,200,6,0.99501,3,25,1200,200,61.807,70.199,0.155,0.172
omega,200,6,0.85,1,25,1200,200,60.815,70.08,0.149,0.165
q,200,6,0.9591,3,25,1200,200,67.087,77.601,0.152,0.169
q,200,6,0.96309,3,25,1200,200,67.187,77.504,0.156,0.169
q,200,6,0.98703,3,25,1200,200,62.793,72.359,0.158,0.173
q,200,6,0.96708,3,25,1200,200,68.404,79.072,0.155,0.17
lambda,200,6,0.85,3,6,1200,200,54.669,51.789,0.156,0.167
q,200,6,0.97107,3,25,1200,200,67.2,77.859,0.157,0.171
lambda,200,6,0.85,3,4,1200,200,59.014,52.153,0.157,0.163
q,200,6,0.98304,3,25,1200,200,66.957,77.27,0.156,0.172
q,200,6,0.97905,3,25,1200,200,67.62,78.571,0.155,0.168
lambda,200,6,0.85,3,5,1200,200,58.836,53.584,0.16,0.171
q,200,6,0.99102,3,25,1200,200,67.699,77.236,0.154,0.17
q,200,6,0.999,3,25,1200,200,67.274,76.437,0.152,0.168
omega,200,6,0.85,3,25,1200,200,67.853,78.359,0.154,0.17
lambda,200,6,0.85,3,7,1200,200,59.944,56.021,0.159,0.174
lambda,200,6,0.85,3,8,1200,200,60.465,58.245,0.158,0.171
omega,200,6,0.85,5,25,1200,200,68.452,81.775,0.157,0.174
omega,200,6,0.85,4,25,1200,200,70.668,83.109,0.157,0.175
lambda,200,6,0.85,3,9,1200,200,61.097,60.255,0.153,0.167
lambda,200,6,0.85,3,13,1200,200,57.485,59.463,0.151,0.163
lambda,200,6,0.85,3,10,1200,200,60.6,60.041,0.154,0.168
lambda,200,6,0.85,3,15,1200,200,57.594,62.102,0.154,0.17
lambda,200,6,0.85,3,12,1200,200,61.534,62.816,0.155,0.167
lambda,200,6,0.85,3,11,1200,200,62.466,63.932,0.157,0.166
lambda,200,6,0.85,3,16,1200,200,59.25,64.125,0.159,0.172
lambda,200,6,0.85,3,17,1200,200,58.999,64.555,0.153,0.167
lambda,200,6,0.85,3,14,1200,200,62.955,65.727,0.155,0.17
mcmcIter,200,6,0.85,3,25,500,200,26.655,21.98,0.157,0.172
lambda,200,6,0.85,3,19,1200,200,60.404,66.675,0.152,0.165
omega,200,6,0.85,6,25,1200,200,76.511,93.114,0.155,0.174
lambda,200,6,0.85,3,20,1200,200,60.231,68.312,0.152,0.17
lambda,200,6,0.85,3,18,1200,200,64.955,70.916,0.153,0.169
omega,200,6,0.85,7,25,1200,200,79.337,97.848,0.159,0.176
lambda,200,6,0.85,3,21,1200,200,66.159,74.357,0.148,0.164
lambda,200,6,0.85,3,23,1200,200,66.942,75.946,0.153,0.17
lambda,200,6,0.85,3,22,1200,200,67.211,76.672,0.155,0.171
lambda,200,6,0.85,3,24,1200,200,66.841,77.613,0.157,0.173
lambda,200,6,0.85,3,25,1200,200,67.928,79.287,0.158,0.176
lambda,200,6,0.85,3,26,1200,200,67.547,80.187,0.155,0.172
lambda,200,6,0.85,3,27,1200,200,68.923,81.744,0.154,0.171
lambda,200,6,0.85,3,28,1200,200,69.173,83.056,0.153,0.171
lambda,200,6,0.85,3,29,1200,200,69.39,82.633,0.155,0.171
lambda,200,6,0.85,3,30,1200,200,68.856,81.957,0.159,0.176
lambda,200,6,0.85,3,33,1200,200,63.991,77.715,0.154,0.173
lambda,200,6,0.85,3,31,1200,200,70.165,85.667,0.157,0.174
lambda,200,6,0.85,3,32,1200,200,70.35,84.413,0.153,0.171
lambda,200,6,0.85,3,34,1200,200,69.474,84.968,0.153,0.17
lambda,200,6,0.85,3,35,1200,200,70.805,86.169,0.156,0.174
lambda,200,6,0.85,3,37,1200,200,67.026,84.296,0.154,0.17
lambda,200,6,0.85,3,40,1200,200,66.832,83.166,0.157,0.176
lambda,200,6,0.85,3,39,1200,200,66.996,83.902,0.155,0.176
lambda,200,6,0.85,3,36,1200,200,71.494,87.119,0.154,0.171
lambda,200,6,0.85,3,42,1200,200,67.045,84.714,0.154,0.175
lambda,200,6,0.85,3,38,1200,200,71.447,89.937,0.151,0.17
lambda,200,6,0.85,3,44,1200,200,65.838,84.254,0.158,0.176
lambda,200,6,0.85,3,41,1200,200,72.955,96.727,0.155,0.172
lambda,200,6,0.85,3,48,1200,200,69.706,89.696,0.151,0.169
lambda,200,6,0.85,3,50,1200,200,69.419,91.311,0.154,0.171
lambda,200,6,0.85,3,43,1200,200,74.043,93.632,0.156,0.176
lambda,200,6,0.85,3,45,1200,200,73.937,94.158,0.157,0.175
lambda,200,6,0.85,3,47,1200,200,73.086,95.322,0.151,0.171
lambda,200,6,0.85,3,46,1200,200,76.081,99.327,0.154,0.174
lambda,200,6,0.85,3,49,1200,200,74.302,100.851,0.154,0.174
mcmcIter,200,6,0.85,3,25,1495,200,77.652,112.617,0.153,0.171
mcmcBurnin,200,6,0.85,3,25,1200,12,72.177,83.56,0.152,0.168
mcmcBurnin,200,6,0.85,3,25,1200,53,65.13,82.195,0.154,0.168
mcmcBurnin,200,6,0.85,3,25,1200,47,67.075,84.57,0.157,0.173
mcmcBurnin,200,6,0.85,3,25,1200,41,68.89,82.854,0.155,0.169
mcmcBurnin,200,6,0.85,3,25,1200,18,74.635,83.988,0.156,0.171
mcmcBurnin,200,6,0.85,3,25,1200,83,68.714,83.373,0.155,0.172
mcmcBurnin,200,6,0.85,3,25,1200,30,74.627,86.597,0.157,0.17
mcmcBurnin,200,6,0.85,3,25,1200,59,69.614,86.715,0.158,0.172
mcmcBurnin,200,6,0.85,3,25,1200,65,69.983,86.795,0.157,0.171
mcmcBurnin,200,6,0.85,3,25,1200,24,70.549,94.421,0.157,0.172
mcmcBurnin,200,6,0.85,3,25,1200,71,69.748,87.92,0.157,0.173
mcmcBurnin,200,6,0.85,3,25,1200,88,69.012,86.794,0.152,0.166
mcmcBurnin,200,6,0.85,3,25,1200,77,71.187,88.019,0.154,0.171
mcmcBurnin,200,6,0.85,3,25,1200,36,73.953,90.551,0.157,0.169
mcmcIter,200,6,0.85,3,25,2490,200,147.501,210.506,0.148,0.166
mcmcBurnin,200,6,0.85,3,25,1200,94,80.911,89.94,0.153,0.17
mcmcBurnin,200,6,0.85,3,25,1200,106,63.689,79.743,0.157,0.174
mcmcBurnin,200,6,0.85,3,25,1200,100,98.802,95.535,0.156,0.174
mcmcIter,200,6,0.85,3,25,3485,200,206.002,270.23,0.144,0.163
mcmcBurnin,200,6,0.85,3,25,1200,112,62.747,77.715,0.157,0.175
mcmcBurnin,200,6,0.85,3,25,1200,118,62.45,77.869,0.157,0.174
mcmcBurnin,200,6,0.85,3,25,1200,130,62.271,76.737,0.155,0.17
mcmcBurnin,200,6,0.85,3,25,1200,124,62.654,77.177,0.157,0.171
mcmcBurnin,200,6,0.85,3,25,1200,135,62.228,77.789,0.155,0.17
